sample_id	total	protein_containing_complex	virion_component	cellular_anatomical_entity
0159_AB10_103853_20180919_ST	2405511	137373.416666667	988	2267149.58333334
0159_AB10_106685_20190116_ST	1322929	67407.5166666667	200.5	1255320.98333333
0159_AB10_26007_20180504_ST	792125	46200.1666666667	163	745761.833333333
0159_AB10_26008_20180410_ST	1651008	85419.2333333334	155.833333333333	1565432.93333333
0159_AB10_26010_20180604_ST	2678045	133732.683333333	313	2543999.31666666
0159_AB10_26013_20180411_ST	532871	29410.15	200	503260.85
0159_AB10_26016_20180423_ST	3455219	171307.183333333	304	3283607.81666667
0159_AB10_26024_20180430_ST	1690734	86199.319047619	233	1604301.68095238
0159_AB10_26032_20180430_ST	8559534	438344.35	5481	8115708.65
0159_AB10_26036_20180417_ST	1110092	64047.8333333334	199	1045845.16666667
0159_AB10_26038_20180403_ST	11898552	761117.3	3974	11133460.7
0159_AB10_26039_20180723_ST	7205894	419325.016666667	866	6785702.98333333
0159_AB10_26040_20180417_ST	2185214	106134.5	255	2078824.5
0159_AB10_26047_20180425_ST	2597604	122325.933333333	12826	2462452.06666666
0159_AB10_26050_20180504_ST	712014	36573.1666666667	51	675389.833333333
0159_AB10_26064_20180516_ST	1049055	56287.0333333333	594	992173.966666667
0159_AB10_26067_20180712_ST	588939	29844.7166666667	106	558988.283333334
0159_AB10_26069_20180516_ST	1749567	95213.5504329003	365	1653988.4495671
0159_AB10_26071_20180518_ST	8791971	470102.75	1046	8320822.25
0159_AB10_26076_20180705_ST	437241	20927.8	42	416271.2
0159_AB10_26080_20180706_ST	1054698	56840.1333333333	4361.5	993496.366666666
0159_AB10_26084_2018069_ST	527773	27349.2777777778	185	500238.722222222
0159_AB10_26088_20180508_ST	5164708	280298.777777778	1620.5	4882788.72222222
0159_AB10_26093_20180517_ST	681	30.8333333333333	0	650.166666666667
0159_AB10_26098_20180626_ST	1169901	58005.2833333333	161	1111734.71666667
0159_AB10_26103_20180911_ST	4947186	248515.566666667	299.5	4698370.93333333
0159_AB10_26109_20180907_ST	3171634	150552.933333333	384.333333333333	3020696.73333333
0159_AB10_26116_20180922_ST	3744567	212992.95	551	3531023.05
0159_AB10_26118_20180813_ST	1361964	73675.0611111111	241.5	1288047.43888889
0159_AB10_26129_20181002_ST	7518034	418511.966666667	788	7098734.03333333
0159_AB10_26131_20180920_ST	2167176	109398.6	288	2057489.4
0159_AB10_26133_20180725_ST	2331598	120695.166666667	495.5	2210407.33333334
0159_AB10_26135_20180925_ST	1967092	98622.4333333333	295.5	1868174.06666667
0159_AB10_26137_20180827_ST	1458302	71314.6	171.333333333333	1386816.06666667
0159_AB10_26147_20181010_ST	1827001	94908.6	684.5	1731407.9
0159_AB10_26151_20180725_ST	1072273	55783.3166666666	209	1016280.68333333
0159_AB10_26152_20180803_ST	2910820	153353.788888889	508.5	2756957.71111111
0159_AB10_26154_20181106_ST	2204283	111386.466666667	308.833333333333	2092587.7
0159_AB10_26156_20180815_ST	20352699	1071782.84523809	3769.5	19277146.6547619
0159_AB10_26157_20180911_ST	672744	38893.8	180	633670.2
0159_AB10_26175_20181010_ST	1855703	90826.05	175.333333333333	1764701.61666667
0159_AB10_26199_20181001_ST	2444828	123460.866666667	726	2320641.13333333
0159_AB10_26201_20180917_ST	1767105	92368.45	328.5	1674408.05
0159_AB10_26204_20180827_ST	2634149	133582.166666667	408	2500158.83333333
0159_AB10_26205_20181105_ST	2799355	141237.283333333	324.5	2657793.21666667
0159_AB10_26213_20181121_ST	1113117	54113.7166666667	316	1058687.28333333
0159_AB10_26216_20180827_ST	2909950	157581.637878788	707.833333333333	2751660.52878788
0159_AB10_26220_20180907_ST	2911152	147125.866666667	358	2763668.13333333
0159_AB10_26221_20180907_ST	441986.999999999	23336.5166666667	204	418446.483333333
0159_AB10_26254_20181210_ST	1644450	81441.1166666667	238	1562770.88333333
0159_AB10_26264_20181015_ST	861368	45674.8166666667	179	815514.183333333
0159_AB10_26267_20190116_ST	1453156	73129.3	90	1379936.7
0159_AB10_26269_20181101_ST	1635025	87115.9	199	1547710.1
0159_AB10_26270_20181205_ST	656679.000000001	40060.3833333333	85	616533.616666667
0159_AB10_26271_20190304_ST	260657	14867.95	813	244976.05
0159_AB10_26273_20190318_ST	771383	39507.1444444444	147.5	731728.355555556
0159_AB10_26288_20181210_ST	13975869	773067.7	6142.5	13196658.8
