RXN-11540		ENZRXN-17988	PWY-6546
RXN0-2522		ENZRXN0-3541	
BADEL4OXRED-RXN		ENZRXN-2001	7ALPHADEHYDROX-PWY
RXN-12612	EC-3.5.1	ENZRXN-19531	PWY-6899
2.8.2.30-RXN	EC-2.8.2.30	ENZRXN66-2187;ENZRXN66-6182	PWY-6558
RXN-8435	EC-2.4.1	ENZRXN-13414;ENZRXN-13411;ENZRXN-13368	PWY-5379
RXN-14457	EC-3.5.3	ENZRXN-21717	PWY-7274
RXN-11541		ENZRXN-17987	PWY-6546
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8	ENZRXN0-2703;ENZRXN0-2704;ENZRXN0-2706;ENZRXN0-2707;ENZRXN0-2708;ENZRXN0-2901;ENZRXN0-6147;ENZRXN0-6275	
UDPMANNACADEHYDROG-RXN	EC-1.1.1.336	UDPMANNACADEHYDROG-ENZRXN	ECASYN-PWY
RXN-12613	EC-3.5.99.2	ENZRXN-19532	PWY-6899
RXN0-2584	EC-3.2.2.27	ENZRXN-2003	
BADEL6OXRED-RXN		ENZRXN-1982	7ALPHADEHYDROX-PWY
2.8.2.31-RXN	EC-2.8.2.31		
RXN-11542	EC-1.13.11.39	ENZRXN-17989	PWY-6550
RXN-8436			PWY-5379
RXN-14458	EC-2.6.99	ENZRXN-21716	PWY-7274
PEPTIDYLTRANSFERASE-RXN	EC-2.3.2.12		
RXN-12614		ENZRXN-19534	PWY-6891;1.4.3.19-RXN
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7	UDPNACETYLGLUCOSAMENOLPYRTRANS-ENZRXN;ENZRXN-17554;ENZRXN-17553;ENZRXN-17244	PWY-6387;PWY-6386
RXN0-2601	EC-4.2.99.18		
BADH-RXN	EC-1.2.1.8	BADH-ENZRXN;ENZRXN-19466;ENZRXNT9-823;ENZRXN-8822;ENZRXN-3387;ENZRXN-544	PWY1F-353;CHOLINE-BETAINE-ANA-PWY;PWY-3722;BETSYN-PWY
RXN-11543	EC-3.7.1.13	ENZRXN-17990	PWY-6550
2.8.2.32-RXN	EC-2.8.2.32		
RXN-8437			PWY-5379
RXN-14459	EC-5.1.1	ENZRXN-21718	PWY-7274
RXN-12615	EC-1.17.3.2	ENZRXN-19538	
PERILLYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.144	ENZRXN-17887	PWY-6526;PWY-6436
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98	UDPNACETYLMURAMATEDEHYDROG-ENZRXN;ENZRXN-17245;ENZRXN-12882	PWY-6387;PWY-6386
RXN0-2602	EC-3.2.2.23	ENZRXN-2005	
BAI3OXO-OXRED-RXN		ENZRXN-1964	7ALPHADEHYDROX-PWY
RXN-11544			PWY-6552
RXN-12616	EC-2.1.1.42	ENZRXN-21079;ENZRXN-21078;ENZRXN-16407	PWY-6232
2.8.2.34-RXN	EC-2.8.2.34		
RXN-8438	EC-2.4.1	ENZRXN-13415	PWY-5380
RXN-14460	EC-6.3.3	ENZRXN-21719	PWY-7274
PEROXID-RXN	EC-1.11.1.7	ENZRXN-20861;ENZRXN-17002;ENZRXN-17001	
UDPSUGARHYDRO-RXN	EC-3.6.1.45	UDPSUGARHYDRO-ENZRXN	
RXN-11545			PWY-6552
RXN0-2604	EC-3.6.1		
BAIAEUBSP-RXN	EC-1.1.1	ENZRXN-1963;ENZRXN-1962;ENZRXN-1961	7ALPHADEHYDROX-PWY
RXN-12617	EC-2.1.1.42		
2.8.2.7-RXN	EC-2.8.2.7		
RXN-8439			PWY-5380
RXN-14461	EC-2.7.1	ENZRXN-21724	
RXN-11546			PWY-6552
