#id	len	geom_mean	median	min	max
9278a929-e861-49df-b933-da8e74b7e8b2	2157	21.6	26	3	50
72daf1f1-ee19-40be-bc79-e6a998bbdebf	57	20.4	22	7	44
d9f58e01-81de-479d-a543-bc5d842fc482	113	24.1	33	4	50
2a14d69a-e72f-41bd-89cf-899719a0ed08	5	5.4	6	4	7
8b4edce8-2648-4987-a639-e4866cff897c	139	16.5	21	4	39
729ee2f9-d8e4-498c-9b21-a451c34d473b	147	13.8	13	2	50
d61c3940-e69f-46a5-8619-a8560a602c64	157	24.4	35	5	50
636b7227-c086-4e02-8eed-28e0e4fd4b53	87	18.0	27	4	50
d460164b-2997-49f8-8224-49ec7afdc256	131	17.9	22	4	50
5d398a2b-1035-43da-9a13-9b30bac7d049	56	26.4	35.5	7	50
10a1409c-e1d2-4cfc-af36-25c2046484e9	177	14.4	15	3	50
497614d7-0feb-46aa-8911-f5b5382273d4	216	11.1	11	1	41
b6f435c1-43bd-4920-8287-a4c54060939c	78	17.8	30	3	50
b7a65cf9-d8b2-4d5c-a35a-8f08cdf0be37	149	24.4	32	6	50
20062e89-189d-437c-9b82-00a6fd50288c	35	10.9	9	4	30
2202a2d8-7bc9-42f1-ac34-f3fbbea6b7a3	142	22.1	33	3	50
46cb269e-ab66-4e09-96b3-30fc327fd3fa	66	14.9	22	2	40
f4a23b52-3d33-4784-bf70-12bf2c01c835	283	38.8	40	8	50
e22b3e30-85be-4244-97f6-cc9ecd55bfb8	102	16.9	24.5	4	50
22bdc77d-f672-4cfa-93f9-f52531296baa	52	12.6	15	3	45
e3f0b76a-f238-4249-bfa7-5458aaf269a1	69	17.2	26	3	45
d89004b2-18b2-4ea5-abcb-fb047cc1c1f8	113	17.2	20	3	50
fb6e6af6-28c0-4842-becc-75513fd8b28f	156	20.6	26	5	50
a6203a49-c31c-46bf-b072-29e575218c18	211	19.9	31	3	50
10a4df4e-aa45-4431-95da-17a77183e4ad	302	25.6	35	3	50
7b2ed4d0-2999-4c6b-b54b-d925a39d4b25	139	11.6	12	2	39
bf374dab-0950-4669-88c5-2cc485a4f246	188	14.1	16	2	50
f5f47670-19e8-4258-a875-769fe0fe5bad	17	12.2	12	8	20
97409c51-f731-44e7-99e4-4fa99e94c4fb	35	11.1	9	4	34
aaf00fc4-08d6-4e12-a1c1-ba7f02664cd9	179	16.2	22	3	50
58ada8ee-1eb1-4c30-9dcc-28c4e6996484	165	15.9	21	2	50
81c5ce3c-2bdb-465e-8ed8-fee56e1fd4ea	120	24.4	33.5	5	50
733d0111-3e92-4ef2-9866-a56b62072735	58	29.2	36.5	8	50
c2b4d2f4-46aa-4650-93dd-18e2cc051263	380	27.5	33.5	3	50
9fed0ddc-b088-451a-ac8c-a09e2cf36607	117	15.7	20	3	50
34641e81-1fe0-4081-8b64-223beac16f60	62	19.1	27	4	50
0fa5554a-2231-43e5-947e-f8a727c04500	4	5.5	5.5	5	6
fc20200a-18b5-4eeb-b4d0-9480e42405cf	72	17.0	17	3	50
16a1f1a9-3660-4c67-989e-a94297c31fc3	152	14.6	18	3	40
793b7faf-9dcb-4c61-a30f-93d807c199a3	657	31.4	38	4	50
8e08cf6f-d855-4ea9-9449-a68ac672159c	55	32.6	38	4	50
bf3e3dba-08a4-4f5b-9ce7-57469acb5903	1	6.0	6	6	6
d6186ef4-4830-48f2-9b96-a629577d1fd7	62	8.4	9	2	30
3602b998-bfda-4edb-87da-0e17d4712dc4	91	15.3	16	5	50
ae29fb49-db99-4a0a-982d-470fee558991	221	28.2	37	4	50
79f41c06-4927-40e2-8146-2c3268b2dcfe	169	16.2	19	4	34
09aa270d-7d17-46cb-acc7-f25fbfae4800	108	23.2	31	3	48
4ac7fd12-7341-4239-b44c-bc0483193585	36	14.8	15	4	34
34e0f446-0f4b-4cca-96f0-3777cae6aba8	59	23.1	28	11	38
202cf6b1-19da-4978-9d99-451de78b4f04	165	19.2	25	3	50
f4161854-d4a4-440c-a9da-f34c3b07e227	59	28.5	36	4	50
71bd5c96-3de2-4d73-a988-d8bcec93e0f0	9	6.2	6	4	12
a8fade3b-9647-4fc0-aa2c-1c6e245ff22d	53	27.1	33	6	50
f4720ae5-a63a-491c-aeda-24447f816d96	106	20.0	26	2	50
07bf1c38-1cba-4dd9-9ae6-e399620e273d	204	20.5	30	3	50
d5d6e0b8-718f-4994-8dfa-7a56d968d00a	58	30.8	36	5	50
5e67d53e-6fa3-449c-9a7b-0b1ff4b990a0	34	10.4	9	3	34
1933544f-8854-4f81-a2dc-2149b305833e	27	8.9	9	3	18
e0428821-ce60-43c6-ad36-ebcc7ade1c74	44	8.6	6	2	29
8da82596-387c-421e-96bd-a7a2ac744127	34	7.4	5	3	21
4c8e4a41-e752-4ac9-a82c-a6ad2b3589e9	80	12.0	10	2	50
31307dda-76d1-488d-a812-9d4a992bfddf	146	19.0	26	3	50
c15c8df0-3768-40bf-8ce9-beaa51c22642	75	12.5	17	3	37
a1f028ca-11a0-4563-b98a-77c996583cc1	123	24.8	32	4	50
e29a8dde-042b-45ab-a2e2-1c4f7ac49f15	123	23.3	31	3	50
f6181d02-b409-4c0b-9976-8950fbad8b75	296	31.6	40	3	50
c5d4e8b5-3105-49ec-9d38-0bbe74bc4c67	28	5.3	5	2	12
7c8c82f3-b9e1-4a09-afa8-0e11a4e4cdb4	1887	32.3	40	3	50
da17b94b-b53d-46f2-905e-cb80bf50d328	1	4.0	4	4	4
7c0f0797-f5ba-4d4a-82f7-dcf5940e3e50	68	17.0	15.5	5	50
68753c3b-e2a3-461f-9987-34c394bee663	119	15.7	20	3	33
4c55c00e-c6b5-4d2f-974e-2e7e279c9ff8	66	31.8	35	9	48
e0ed1f5e-12b3-4770-affc-a992836b3c00	1	4.0	4	4	4
aecb0ec7-5c02-492f-9f6d-fae1a6326f7a	177	28.0	36	3	50
71ab0356-ac84-4b98-8be6-f07e424a8bc3	57	22.6	26	6	50
df35a842-f18d-45a3-8917-c98f5b419da6	147	22.8	34	4	50
e5a5488e-9f31-43dd-9f10-8023aecdae92	11	18.0	23	8	27
dde38d90-16cb-4cc8-81b4-5124476e6a2b	134	30.8	37	9	50
87cb99fd-9154-4b63-982a-745b97b0e0b6	356	34.1	39	8	50
69f3c5cb-c695-4c29-a7fe-332783a38b19	57	25.9	32	7	50
2a589715-c91d-42ef-8f7e-a8073b3e63d3	60	9.1	7.5	2	30
6740caa2-75e5-457a-9213-c6b72e416708	598	30.3	35	4	50
31ae7c44-6da2-4c18-9e19-31d7fcda04d2	12	6.4	7	3	10
18375fb2-f55a-4787-90b4-5214ff286eb8	57	30.0	35	7	50
336f4c9a-e77a-449c-844d-9c7015235771	68	24.9	31	6	46
280bd104-47f6-4c01-87b9-6f6b0769db0c	585	33.0	36	5	50
3fbc66c3-b100-4967-953f-508c99169938	80	23.1	33	5	50
604804b2-f332-48e6-97a8-5ae6aef61451	216	18.0	21	3	50
a2279567-9d1c-4343-8e1a-c5f5985f843b	129	18.9	31	4	50
47faa643-88e3-44ae-b5e7-3442279a2393	76	17.4	25	3	50
b98648ee-2d37-4d46-b7d5-981195339620	140	15.8	16	3	50
dd45e165-ecce-4fae-ad1b-38d741d0cecc	72	19.8	25.5	4	46
